aliquot	feature_1	feature_2	project	center
TCGA-05-4426-01A-01T-1207-13	-8.37057860086693	14.0913842831886	LUAD	BCCAGSC
TCGA-05-4427-01A-21H-1857-13	8.03274442854099	-3.28206143761982	LUAD	BCCAGSC
TCGA-05-4430-01A-02T-1207-13	-11.9584068842361	18.5512207632186	LUAD	BCCAGSC
TCGA-05-4432-01A-01T-1207-13	-11.840170709401	19.5978975858723	LUAD	BCCAGSC
TCGA-05-4433-01A-22H-1857-13	7.66266943588646	-1.44104193019253	LUAD	BCCAGSC
TCGA-05-4434-01A-01T-1207-13	-8.31825583575948	13.3761208728454	LUAD	BCCAGSC
TCGA-05-5420-01A-01T-1627-13	-21.2779150130613	-12.7336851457744	LUAD	BCCAGSC
TCGA-05-5423-01A-01T-1627-13	11.9674251761463	-10.589466790947	LUAD	BCCAGSC
TCGA-05-5425-01A-02T-1627-13	4.38814723074164	-0.927690806498328	LUAD	BCCAGSC
TCGA-05-5428-01A-01T-1627-13	8.91227881033695	-4.9265399536712	LUAD	BCCAGSC
TCGA-05-5429-01A-01T-1627-13	15.4770648454399	-24.4271067462375	LUAD	BCCAGSC
TCGA-05-5715-01A-01T-1627-13	10.5625071468916	-8.45258325878712	LUAD	BCCAGSC
TCGA-09-0364-01A-02R-1564-13	-3.28550918254562	52.8351019187937	OV	BCCAGSC
TCGA-09-0366-01A-01R-1986-13	5.51133581348768	45.1842776660763	OV	BCCAGSC
TCGA-09-0367-01A-01R-1564-13	-2.19566707308116	51.5272104785106	OV	BCCAGSC
TCGA-09-1661-01B-01R-1566-13	-5.39026503601971	51.3755007177807	OV	BCCAGSC
TCGA-09-1662-01A-01R-1566-13	3.14607038262625	49.7178579450268	OV	BCCAGSC
TCGA-09-1665-01B-01R-1566-13	-6.10374543386079	52.0981962617617	OV	BCCAGSC
TCGA-09-1666-01A-01R-1566-13	6.09332711196337	48.6866629557274	OV	BCCAGSC
TCGA-09-1667-01C-01R-1566-13	8.61479442022229	46.1719539358447	OV	BCCAGSC
TCGA-09-1668-01B-01R-1566-13	-1.92397853096563	49.7316060253385	OV	BCCAGSC
TCGA-09-1669-01A-01R-1566-13	8.00306012770273	51.8199181128225	OV	BCCAGSC
