patient	feature_1	feature_2	project
TCGA-04-1519	-25.8357556847101	-0.141608572814929	OV
TCGA-04-1525	-20.0222197770514	9.54329799467911	OV
TCGA-04-1530	-9.43601497163556	13.8380563756166	OV
TCGA-04-1536	-25.2362279270909	19.9839042883317	OV
TCGA-04-1542	-24.7604673139351	1.16314578435568	OV
TCGA-04-1638	-2.89944569378471	-1.25769359292527	OV
TCGA-04-1644	-26.7610972034915	15.6549533237986	OV
TCGA-04-1646	-31.1006959890748	2.55027691724599	OV
TCGA-04-1648	-17.9128916248672	-19.6071030873968	OV
TCGA-04-1649	-26.8898553729455	2.60998915918188	OV
TCGA-04-1651	-30.441478475304	8.01936946310949	OV
TCGA-04-1652	-28.9311431492173	3.10060468710943	OV
TCGA-04-1654	-29.9346314127389	4.77516842951685	OV
TCGA-04-1655	-26.3797945748895	0.313590131144234	OV
TCGA-05-4244	6.25891567789869	-7.54536560887324	LUAD
TCGA-05-4249	19.8692265329272	-12.0122125323105	LUAD
TCGA-05-4250	-8.93366908247533	-3.62345335503271	LUAD
TCGA-05-4382	-7.30400704659338	5.93395252564906	LUAD
TCGA-05-4384	14.0537975966191	-2.60239572411795	LUAD
TCGA-05-4389	-10.7393191378294	1.13959411465787	LUAD
TCGA-05-4390	-4.7191169893197	-3.68103148106035	LUAD
TCGA-05-4395	-9.65499238330398	-1.83656845129898	LUAD
TCGA-05-4396	-4.88424967846954	8.09531809419782	LUAD
TCGA-05-4397	-13.1727693032481	23.4660874518482	LUAD
TCGA-05-4398	-12.7001571107416	-9.83483190440814	LUAD
TCGA-05-4402	-7.85415602875507	0.267084707742272	LUAD
TCGA-05-4403	14.772371211513	11.6681391732353	LUAD
TCGA-05-4405	-9.00494746818328	1.50919493856998	LUAD
TCGA-05-4410	-8.50456190098117	1.53250531467099	LUAD
TCGA-05-4415	9.63615107161232	-3.23134761435765	LUAD
TCGA-05-4417	-4.31785475931881	-3.51883697573477	LUAD
TCGA-05-4418	-2.54371976928048	-10.2372618194803	LUAD
TCGA-05-4420	-18.7371980941768	10.2713531960941	LUAD
TCGA-05-4422	29.5163650365399	-11.8600982988814	LUAD
TCGA-05-4424	-20.6791953141508	4.49272553779089	LUAD
TCGA-05-4425	10.2107310692115	2.53877989423031	LUAD
TCGA-05-4426	10.2521880195195	3.31297223931766	LUAD
TCGA-05-4427	-0.783428670714352	28.023274899891	LUAD
TCGA-05-4430	-9.89091973944504	0.552955688198275	LUAD
TCGA-05-4432	-10.3549223756139	-0.513362338490451	LUAD
TCGA-05-4433	27.9050938141635	-9.87623997538582	LUAD
TCGA-05-4434	1.52518040838814	14.7102141045465	LUAD
TCGA-05-5420	-2.09928030149746	3.39985292132218	LUAD
TCGA-05-5423	-4.33086635535045	-1.14049832254385	LUAD
TCGA-05-5425	-22.253982287516	6.05027847324195	LUAD
TCGA-05-5428	-9.70799279672746	2.60290705536597	LUAD
TCGA-05-5429	12.0245486371507	0.803162303101677	LUAD
TCGA-05-5715	-5.95405166609259	1.0674775588204	LUAD
TCGA-06-0119	-12.340949839142	-22.7715100566555	GBM
TCGA-06-0122	-18.4493068599159	-26.478524183076	GBM
TCGA-06-0124	-20.4020173496969	-27.6166321511202	GBM
TCGA-06-0125	-16.9647246133437	-30.8099134543922	GBM
TCGA-06-0126	-16.4900388737992	-30.7108600017807	GBM
TCGA-06-0127	-13.6336540972655	-26.1032431200916	GBM
TCGA-06-0128	-17.4908929485707	-19.5233128674433	GBM
TCGA-06-0129	0.0409981539480343	10.6524443813002	GBM
TCGA-06-0130	-10.2940466836229	-23.8520949490292	GBM
TCGA-06-0132	-11.2704257087612	-21.1511016966933	GBM
TCGA-06-0133	-15.8262906651333	-24.7031943422953	GBM
TCGA-06-0137	-16.7981631870056	-31.2175840074514	GBM
TCGA-06-0138	-10.3582141949421	-27.5814264265474	GBM
TCGA-06-0139	7.76922984053623	10.9050143195361	GBM
TCGA-06-0140	-17.9017031955365	-24.9802682109644	GBM
TCGA-06-0141	-9.66585262634214	-21.3533347178672	GBM
TCGA-06-0142	7.71811817386403	10.9238353343467	GBM
TCGA-06-0143	-10.1657699442186	-26.5282123604619	GBM
TCGA-06-0145	-16.9554787918572	-29.3287415074913	GBM
TCGA-06-0146	10.1114271633731	28.4236866843773	GBM
TCGA-06-0147	-11.8648886810768	-22.5785392669525	GBM
TCGA-06-0148	-17.7387597935515	-30.8413660038483	GBM
TCGA-06-0149	-18.2419963696718	-25.9360597773896	GBM
TCGA-06-0150	-15.5651436561404	-31.0728140532602	GBM
TCGA-06-0151	-13.9050522228312	-30.8880314394051	GBM
TCGA-06-0152	-15.2645449157829	-28.6344693005076	GBM
TCGA-06-0154	-13.8881239237698	-32.6865574584136	GBM
TCGA-06-0155	-16.8158061223011	-28.8188301346973	GBM
TCGA-06-0157	-17.1042036549308	-29.9709321767218	GBM
TCGA-06-0158	-18.8163231464875	-26.4150458303421	GBM
TCGA-06-0159	-18.6728644373496	-23.718716485063	GBM
TCGA-06-0160	24.053765464217	9.19137873176428	GBM
TCGA-06-0162	-9.2408782201448	-30.8573674055603	GBM
TCGA-06-0164	-17.4897906075873	-25.0797965046401	GBM
TCGA-06-0165	25.2103926971022	13.2616495876792	GBM
TCGA-06-0166	-7.89440433739644	-29.9451414597233	GBM
TCGA-06-0168	-17.354107771504	-25.0248033960507	GBM
TCGA-06-0169	-14.6910669109062	-27.8218935778475	GBM
TCGA-06-0171	-14.8914745375865	-30.3004685945577	GBM
TCGA-06-0173	-16.3600712953028	-31.835156357127	GBM
TCGA-06-0174	-18.1182543944648	-29.4903540381634	GBM
TCGA-06-0175	-14.768802972574	-29.5216952881648	GBM
TCGA-06-0176	-11.1705675119536	-15.2196990152708	GBM
TCGA-06-0177	-12.4783003915036	-29.8033890008532	GBM
TCGA-06-0178	24.3966975240867	13.2609666594611	GBM
TCGA-06-0179	-13.5221946186064	-25.1801505238199	GBM
TCGA-06-0182	-15.651639022962	-28.8860490713697	GBM
TCGA-06-0184	-18.0924159379304	-23.5254360882099	GBM
TCGA-06-0185	-13.5198421666313	-33.2756732994416	GBM
TCGA-06-0187	-12.8475857704327	-33.773324831101	GBM
TCGA-06-0188	-9.24879985232163	-26.6277054652054	GBM
TCGA-06-0189	-11.9360944568029	-22.4923435859687	GBM
TCGA-06-0190	-15.8681896529036	-26.0446697847917	GBM
TCGA-06-0192	-14.4081599540104	-26.2190051281246	GBM
TCGA-06-0194	-10.3466177041078	-26.2187236953704	GBM
TCGA-06-0195	-18.9009666083911	-23.7183734215425	GBM
TCGA-06-0197	-18.9309534262492	-23.7957140080388	GBM
TCGA-06-0201	-15.871296910702	-26.1481827849353	GBM
TCGA-06-0206	-18.1662238804422	-26.0751587152567	GBM
TCGA-06-0208	-16.9229534786436	-29.2378583395641	GBM
TCGA-06-0209	-13.5401291412666	-29.4986384135555	GBM
TCGA-06-0210	-12.2048769058285	-29.9556606428351	GBM
TCGA-06-0211	-16.4536518356734	-31.0078279734364	GBM
TCGA-06-0213	-13.6297844676014	-20.6819473945884	GBM
TCGA-06-0214	-11.0654334270504	-32.1243312761265	GBM
TCGA-06-0216	24.237206365956	9.28886562693114	GBM
TCGA-06-0219	-8.34453313420764	-27.085436532581	GBM
TCGA-06-0221	12.9308881990247	-22.2207217320122	GBM
TCGA-06-0237	-12.9140641332056	-28.9267519702267	GBM
TCGA-06-0238	-18.115320650022	-27.4725257480693	GBM
TCGA-06-0240	7.77730024161965	10.8861042904263	GBM
TCGA-06-0241	-10.4979008498139	-27.7513405431724	GBM
TCGA-06-0394	-14.7009015180772	-27.280424897651	GBM
TCGA-06-0397	7.59463499637724	-28.9094387586813	GBM
TCGA-06-0402	-17.0374782059612	-30.6455480246459	GBM
TCGA-06-0409	-9.34193763513795	-32.327641592637	GBM
TCGA-06-0410	-8.38461346212299	-25.6913610215779	GBM
TCGA-06-0412	-12.1175047976626	-30.1408352900836	GBM
TCGA-06-0413	-13.4476740528728	-16.9261260007933	GBM
TCGA-06-0414	-21.24256373683	-23.8274545894694	GBM
TCGA-06-0644	-10.5086525569823	-27.2298897329067	GBM
TCGA-06-0645	-13.9245491570261	-29.2961739109222	GBM
TCGA-06-0646	-10.7385470845139	-27.6683923198459	GBM
TCGA-06-0648	-20.6477082139745	-27.1347957618364	GBM
TCGA-06-0649	-10.8538852279325	-26.3909575534428	GBM
TCGA-06-0650	-11.8211913488228	-22.40693517072	GBM
TCGA-06-0686	-17.3760288414065	-27.1043858022274	GBM
TCGA-06-0743	-16.237465299678	-30.9842513821476	GBM
TCGA-06-0744	-17.2369468362528	-29.3964922246089	GBM
TCGA-06-0745	-11.7765142622304	-27.9731872933221	GBM
TCGA-06-0747	-15.4004415626865	-31.8197069648782	GBM
TCGA-06-0749	-14.7322071768903	-25.2019399415173	GBM
TCGA-06-0750	-9.49712904673735	-29.5894239682623	GBM
TCGA-06-0875	-20.647970976429	-27.285682402034	GBM
TCGA-06-0876	-16.5313778078098	-26.3203645620672	GBM
TCGA-06-0877	-13.9092012914456	-30.799557796814	GBM
TCGA-06-0878	-11.6858060786323	-27.8571383506761	GBM
TCGA-06-0879	-17.4348833958725	-30.7238151266953	GBM
TCGA-06-0881	7.77133099677578	10.9452034763525	GBM
TCGA-06-0882	-14.5062171485359	-28.2211486033722	GBM
TCGA-06-0939	-18.0246719195277	-25.1290082465353	GBM
TCGA-06-1084	-9.89241991237026	-26.2143370324913	GBM
TCGA-06-1086	2.16708458223273	-21.0539228977426	GBM
TCGA-06-1087	-19.5806841884507	-29.2274369987633	GBM
TCGA-06-1800	-21.579984697093	-25.0925393192085	GBM
TCGA-06-1801	-20.4672016197035	-27.161695538724	GBM
TCGA-06-1802	-17.1990146403613	-26.0177419951611	GBM
TCGA-06-1804	-18.8640745861755	-25.5650452198106	GBM
TCGA-06-1805	-3.99347614237668	-15.1426387673692	GBM
TCGA-06-1806	-1.51949996095361	-30.8259796848159	GBM
TCGA-06-2557	-13.158604503603	-29.6114178737817	GBM
TCGA-06-2558	-20.5912313879183	-26.6986166214793	GBM
TCGA-06-2559	-16.9986554244147	-27.1073587462581	GBM
TCGA-06-2561	-8.86690601094441	-30.4476568625235	GBM
TCGA-06-2562	-14.8308462915061	-29.6150252458543	GBM
TCGA-06-2563	-16.5559327098247	-30.4540653284085	GBM
TCGA-06-2564	-17.3633561753915	-27.7626055395555	GBM
TCGA-06-2565	-17.1698316883165	-31.9789170685165	GBM
TCGA-06-2566	-13.9014579372632	-22.802071643958	GBM
TCGA-06-2567	-18.8200775546747	-25.5313972965432	GBM
TCGA-06-2569	-22.6275823843822	-3.05380048946564	GBM
TCGA-06-2570	7.39788653994391	29.5196240117057	GBM
TCGA-06-5408	-9.49614194322452	-29.5996592345423	GBM
TCGA-06-5410	-9.61823856475321	-21.4487775263359	GBM
TCGA-06-5411	-10.3527294227075	-26.75405814873	GBM
TCGA-06-5412	-11.3885623547342	-21.4124161604046	GBM
TCGA-06-5413	-11.8932219821657	-33.0719833412706	GBM
TCGA-06-5414	-16.6295025759158	-29.9120150132873	GBM
TCGA-06-5415	-13.1252409737123	-32.964684983053	GBM
TCGA-06-5416	7.17644180794496	15.298233529829	GBM
TCGA-06-5418	-15.2821668519815	-31.919436555308	GBM
TCGA-06-5856	-7.32515909235636	-30.5354287290257	GBM
TCGA-06-5858	-11.6241196077997	-16.7893814030647	GBM
TCGA-06-5859	-9.87054269612617	-32.1191950786413	GBM
TCGA-06-6388	-16.0898281175996	-29.8757662301653	GBM
TCGA-06-6389	9.61961130716629	28.1522166874323	GBM
TCGA-06-6390	-8.39091190091527	-30.2887722523494	GBM
TCGA-06-6391	-5.69386675316643	-19.1750777821499	GBM
TCGA-06-6693	-14.0990845573338	-26.888836731039	GBM
TCGA-06-6694	-3.71249891643094	-13.5871207500007	GBM
TCGA-06-6695	-16.4620880456865	-30.7268077877978	GBM
TCGA-06-6697	-10.5351722222513	-25.8865444479207	GBM
TCGA-06-6698	-11.6422532879744	-16.9782059380533	GBM
TCGA-06-6699	-10.9038378805458	-27.8186104406868	GBM
TCGA-06-6700	-14.2872423320361	-24.7250901408376	GBM
TCGA-06-6701	4.68035798184062	-0.0295034519645508	GBM
TCGA-06-A5U0	-22.6851877713984	-2.97089817973185	GBM
TCGA-06-A5U1	-9.52524665251179	-29.2870369157199	GBM
TCGA-06-A6S0	-20.2722064276232	-28.1944171044689	GBM
TCGA-06-A6S1	-10.0499747603179	-30.5616495102273	GBM
TCGA-06-A7TK	-20.1861316406271	-26.4065192031665	GBM
TCGA-06-A7TL	9.6429204780653	28.2358815530576	GBM
TCGA-08-0244	-16.2243928718035	-27.6607250533681	GBM
TCGA-08-0245	-18.6272473941644	-20.8965153664491	GBM
TCGA-08-0246	1.22045526326727	-21.4477786220805	GBM
TCGA-08-0344	34.9381120765888	-13.9417540843629	GBM
TCGA-08-0345	-15.7650424835415	-26.460995624915	GBM
TCGA-08-0346	-15.0844662184102	-24.7733476739881	GBM
TCGA-08-0347	-17.8245772660547	-25.4631267127174	GBM
TCGA-08-0348	-20.5435746278169	-27.5404054642625	GBM
TCGA-08-0349	-19.0389243025891	-25.212929151305	GBM
TCGA-08-0350	-2.32394738909678	-1.86515482572686	GBM
TCGA-08-0351	2.81545164066708	16.1237707195611	GBM
TCGA-08-0352	-16.5132670924767	-29.5828726643184	GBM
TCGA-08-0353	-13.5182469361012	-27.5624677501331	GBM
TCGA-08-0354	-18.8602745921362	-25.7190761047136	GBM
TCGA-08-0355	-13.4055578192471	-27.9921588320314	GBM
TCGA-08-0356	-14.9747687957735	-27.925624014755	GBM
TCGA-08-0357	-17.2875912456311	-25.529078752377	GBM
TCGA-08-0358	-12.9939285731063	-33.9075258780956	GBM
TCGA-08-0359	-20.5336242537022	-26.9664562432867	GBM
TCGA-08-0360	-10.5196250742123	-25.5703962722024	GBM
TCGA-08-0373	-20.0293286958244	-26.0743683579467	GBM
TCGA-08-0375	-13.0434321947766	-33.1492737151087	GBM
TCGA-08-0380	-10.4419841607664	-25.8234260685166	GBM
TCGA-08-0385	29.7775940644189	5.75903715038829	GBM
TCGA-08-0386	-19.3603791926662	-24.1718323734969	GBM
TCGA-08-0389	-18.78181564346	-25.4602670592912	GBM
TCGA-08-0390	-12.8961693229301	-24.9987745275751	GBM
TCGA-08-0392	-10.1480982083353	-26.5337774712675	GBM
TCGA-08-0509	-15.1232050436011	-25.6469890625691	GBM
TCGA-08-0510	-16.844597557333	-28.5381425769202	GBM
TCGA-08-0511	8.06166468976888	10.8616857932563	GBM
TCGA-08-0512	-7.56440243065542	-29.2172726841495	GBM
TCGA-08-0514	-13.2282653258852	-26.5785818843505	GBM
TCGA-08-0516	4.13183494499099	30.3353911969106	GBM
TCGA-08-0517	9.10248514555807	-13.9354524708892	GBM
TCGA-08-0518	-16.1923497405677	-30.0429530730521	GBM
TCGA-08-0520	-9.03229958239641	-26.8185538318914	GBM
TCGA-08-0521	-11.5110015451329	-22.4457168761903	GBM
TCGA-08-0522	-11.5509852751133	-18.2704868823476	GBM
TCGA-08-0524	18.6433637216758	-11.8672878393923	GBM
TCGA-08-0525	-12.8654388404764	-32.0699464953803	GBM
TCGA-08-0529	-17.48878800122	-29.6259928177756	GBM
TCGA-08-0531	-17.0598894947677	-30.7612945619668	GBM
TCGA-09-0364	-26.6845516853255	8.66774758317913	OV
TCGA-09-0365	-25.832419609163	0.200805750416861	OV
TCGA-09-0366	-24.2479749754595	25.9665064296155	OV
TCGA-09-0367	-28.8067235678005	5.7951229681087	OV
TCGA-09-0369	-20.2589415458951	18.6664804502772	OV
TCGA-09-1659	-23.5918644066971	1.74331655523942	OV
TCGA-09-1661	-26.5729044695945	0.944387626637965	OV
TCGA-09-1662	-30.0386672315683	3.78269978657855	OV
TCGA-09-1664	0.474573460432322	8.46518113362862	OV
TCGA-09-1665	-27.7726675081591	7.78465673072248	OV
TCGA-09-1666	-31.0223459728307	6.38001991536146	OV
TCGA-09-1667	-28.1132567645395	7.66963317683489	OV
TCGA-09-1668	-22.8625776360277	7.11016390167097	OV
TCGA-09-1669	-26.5078574652383	8.94043065952535	OV
TCGA-09-1670	-28.2802978066613	0.766400960813344	OV
TCGA-09-1672	14.5858481289801	-15.1418705246337	OV
TCGA-09-1673	-5.09864284790215	-6.9377690776364	OV
TCGA-09-1674	-27.4965274087482	12.4172621467888	OV
TCGA-09-1675	-30.2397941518694	5.29700376539192	OV
TCGA-09-2043	-13.3387601173909	-0.353802837193279	OV
TCGA-09-2044	-23.5994840031258	8.96089289408165	OV
TCGA-09-2045	-26.6271355406017	7.96717834963555	OV
TCGA-09-2048	6.00132192863787	-14.6738894964991	OV
TCGA-09-2049	-25.0016085251277	2.43314055391918	OV
TCGA-09-2050	-25.7584248621027	10.3016873474376	OV
TCGA-09-2051	-20.2008436213968	7.32363636921786	OV
TCGA-09-2053	-23.6602981752322	2.90379798248935	OV
TCGA-09-2054	-21.8052252061787	8.69897618348092	OV
TCGA-09-2055	-30.4223767310464	3.27786534804769	OV
TCGA-09-2056	-14.5012969497006	-9.66278075210534	OV
TCGA-10-0925	7.31900028018916	-11.4186866841282	OV
TCGA-10-0926	-3.74728442953706	-18.0882055928315	OV
TCGA-10-0927	-28.0046511968243	0.45614995800559	OV
TCGA-10-0928	-23.3698508208695	8.72436101797507	OV
TCGA-10-0930	-24.4331625876543	12.7787542906848	OV
TCGA-10-0931	-31.21737509597	7.6558879931288	OV
TCGA-10-0933	-28.9123055656506	13.741042739235	OV
TCGA-10-0934	-8.59855352588665	28.5023720601077	OV
TCGA-10-0935	-22.9877680982971	1.46118145156023	OV
TCGA-10-0936	2.64353277476139	-6.16817965866701	OV
TCGA-10-0937	-32.05621584818	5.64880395929389	OV
TCGA-10-0938	1.79304536106506	-9.84921595586224	OV
TCGA-12-0615	-9.10965010796984	-29.8156119627491	GBM
TCGA-12-0616	-9.89386252302416	-27.3619425589622	GBM
TCGA-12-0618	-20.7447352391802	-27.9045119903531	GBM
TCGA-12-0619	-20.1190627502424	-24.7935257761845	GBM
TCGA-12-0620	-18.4001713653938	-25.2898654426824	GBM
TCGA-12-0653	-10.4337190590405	-27.0307097870315	GBM
TCGA-12-0654	-9.65083247843809	-29.6684075674005	GBM
