aliquot	feature_1	feature_2	disease	center
TCGA-05-5423-01A-01R-1628-07	-10.0915463656973	1.23260850282055	LUAD	UNC-LCCC
TCGA-05-5425-01A-02R-1628-07	-7.18050156770724	5.10193365723947	LUAD	UNC-LCCC
TCGA-05-5428-01A-01R-1628-07	-10.8943976502557	0.779660735526477	LUAD	UNC-LCCC
TCGA-05-5429-01A-01R-1628-07	-10.0542350695896	-0.0574813772847398	LUAD	UNC-LCCC
TCGA-05-5715-01A-01R-1628-07	-8.17250041535959	0.822747350438229	LUAD	UNC-LCCC
TCGA-06-0125-01A-01R-1849-01	-23.2511748034294	-34.2412277210107	GBM	BI
TCGA-06-0129-01A-01R-1849-01	-23.6237465936857	-33.4817672182592	GBM	BI
TCGA-06-0130-01A-01R-1849-01	-20.786951230337	-36.9042295408221	GBM	BI
TCGA-06-0132-01A-02R-1849-01	-20.0309988523685	-36.1208147851833	GBM	BI
TCGA-06-0138-01A-02R-1849-01	-22.4430744544102	-38.324436111716	GBM	BI
TCGA-06-0139-01A-01R-1849-01	-16.655991777555	-31.745849671323	GBM	BI
TCGA-06-0141-01A-01R-1849-01	-23.0428976243074	-37.5913233080722	GBM	BI
TCGA-06-0156-01A-03R-1849-01	-21.7020196657265	-34.542849319692	GBM	BI
TCGA-06-0157-01A-01R-1849-01	-24.3416218412441	-36.8479678129749	GBM	BI
TCGA-06-0158-01A-01R-1849-01	-23.1336835648057	-34.4516919628777	GBM	BI
TCGA-06-0168-01A-01R-1849-01	-16.4716046700771	-31.6531026328426	GBM	BI
TCGA-06-0174-01A-01R-1849-01	-22.5637821874623	-35.5500734730455	GBM	BI
TCGA-06-0178-01A-01R-1849-01	-23.7929942938576	-39.3454537920297	GBM	BI
TCGA-06-0184-01A-01R-1849-01	-22.1404771890613	-37.4737833107095	GBM	BI
TCGA-06-0187-01A-01R-1849-01	-24.3210510085587	-37.7694292231591	GBM	BI
TCGA-06-0190-01A-01R-1849-01	-20.993773653339	-36.4204227605837	GBM	BI
TCGA-06-0210-01A-01R-1849-01	-23.283128495756	-37.0942313452969	GBM	BI
TCGA-06-0211-01B-01R-1849-01	-22.9098317896504	-35.7638682318648	GBM	BI
TCGA-06-0219-01A-01R-1849-01	-24.2794447540126	-39.3907873643107	GBM	BI
