feature_1	feature_2	project
TCGA-4Z-AA82	6.28654352383999	-7.45149921493268	BLCA
TCGA-4Z-AA83	-0.026623212692143	-15.6823146777696	BLCA
TCGA-4Z-AA84	5.83440673966965	-12.019466126849	BLCA
TCGA-4Z-AA86	6.60139681323122	-9.97636847264376	BLCA
TCGA-4Z-AA87	2.22573430976898	-15.0514428757498	BLCA
TCGA-4Z-AA89	-0.0944877990310531	-16.1628915408834	BLCA
TCGA-5N-A9KI	0.888787086140207	-11.442499352695	BLCA
TCGA-5N-A9KM	1.17223498904589	-13.3195451185315	BLCA
TCGA-BL-A0C8	-27.2121884479676	-15.711872975528	BLCA
TCGA-BL-A13I	-27.5919249618415	-15.630421019402	BLCA
TCGA-BL-A13J	-27.3766357039468	-15.5537103436786	BLCA
TCGA-BL-A3JM	7.72425350613511	-22.5145130463425	BLCA
TCGA-BT-A0S7	5.13952294152636	-7.86888988258138	BLCA
TCGA-BT-A0YX	8.73481352404196	-7.71566474681704	BLCA
TCGA-BT-A20J	10.2241303320298	-10.8791983187714	BLCA
TCGA-BT-A20N	4.93273636507431	-12.5706342165573	BLCA
TCGA-BT-A20O	-2.78950631861605	8.59364947254745	BLCA
TCGA-BT-A20P	2.23685658504974	-11.0744934840148	BLCA
TCGA-BT-A20Q	0.730034959705144	-10.0470803299185	BLCA
TCGA-BT-A20R	0.158971834943565	-11.7368875296327	BLCA
TCGA-BT-A20T	2.301741634009	-11.1343628722978	BLCA
TCGA-BT-A20U	12.6494287486035	-12.521304728939	BLCA
TCGA-BT-A20V	11.7835937897135	-14.7285816901013	BLCA
TCGA-BT-A20W	3.43307650304601	-12.0278452291223	BLCA
TCGA-BT-A20X	18.5802462432425	-4.0844223564925	BLCA
TCGA-BT-A2LA	-0.541949763455272	-25.335487896821	BLCA
TCGA-BT-A2LB	0.303415662445266	-11.6318604802604	BLCA
TCGA-BT-A2LD	2.02358267894878	-10.2809126474857	BLCA
TCGA-BT-A3PH	2.21745204455514	-17.0092092312089	BLCA
TCGA-BT-A3PJ	7.54102822195619	-12.8763815925277	BLCA
TCGA-BT-A3PK	16.9949256030106	5.21832335590716	BLCA
TCGA-BT-A42C	-0.023496336558202	-13.6236026706097	BLCA
TCGA-BT-A42E	9.33353667661968	-13.4982965760358	BLCA
TCGA-BT-A42F	10.3150374193933	-12.3785126158071	BLCA
TCGA-C4-A0EZ	8.16606166792034	-23.2376631304709	BLCA
TCGA-C4-A0F0	8.11458655510708	-9.93264509684928	BLCA
TCGA-C4-A0F1	10.5008585681029	-8.58619547553776	BLCA
TCGA-C4-A0F6	1.89665539801277	-17.8555045953823	BLCA
TCGA-C4-A0F7	23.7341715403686	-16.7406041098375	BLCA
TCGA-CF-A1HR	2.70379136134373	-11.0763437710579	BLCA
TCGA-CF-A1HS	9.35364573376889	-10.7499219997298	BLCA
TCGA-CF-A27C	-0.751970802722672	-16.7852749605181	BLCA
TCGA-CF-A3MF	-0.656866247807041	-17.959860755996	BLCA
TCGA-CF-A3MG	0.856857008105049	-17.2835166041338	BLCA
TCGA-CF-A3MH	-0.673592393409977	-17.1898405437669	BLCA
TCGA-CF-A3MI	-0.32157530746648	-17.7476308645381	BLCA
TCGA-CF-A47S	-2.54433766552682	-15.4305407357289	BLCA
TCGA-CF-A47T	0.114109527856263	-17.4087710265887	BLCA
TCGA-CF-A47V	-1.50351756365398	-14.8383439086006	BLCA
TCGA-CF-A47W	-2.50637291854482	-15.5046149547785	BLCA
TCGA-CF-A47X	-1.35401153902003	-16.8440878963458	BLCA
TCGA-CF-A47Y	-2.5015833290226	-15.4829193920947	BLCA
TCGA-CF-A5U8	-0.671994808026458	-17.0206193755679	BLCA
TCGA-CF-A5UA	2.34966325760893	-10.5853357736981	BLCA
TCGA-CF-A7I0	1.07101875120678	-16.6788573119631	BLCA
TCGA-CF-A8HX	0.123452158698445	-17.7071322229933	BLCA
TCGA-CF-A8HY	-0.949320140095905	-15.95750556006	BLCA
TCGA-CF-A9FF	0.756168307643318	-16.3861819638433	BLCA
TCGA-CF-A9FH	-0.458339589591993	-15.9298973208779	BLCA
TCGA-CF-A9FL	0.978588857792613	-16.8122506347254	BLCA
TCGA-CF-A9FM	-2.14499729969271	-15.5158633152517	BLCA
TCGA-CU-A0YN	6.85343275050709	-10.4026273283797	BLCA
TCGA-CU-A0YO	1.14853277959777	-9.0898575253708	BLCA
