aliquot	feature_1	feature_2	project
TCGA-14-0781-01B-01D-1697-05	30.3338179383748	-28.1566440812467	GBM
TCGA-14-0862-01B-01D-1844-05	34.27207821792	-29.9100517122882	GBM
TCGA-14-1043-01B-11D-1844-05	32.7179185757219	-29.6523065678173	GBM
TCGA-14-1395-01B-11D-1844-05	33.4309749632752	-34.6435136245378	GBM
TCGA-14-1402-01A-01D-A45W-05	36.8466416202918	-33.9560452484341	GBM
TCGA-14-1450-01B-01D-1844-05	36.2013161680713	-28.7681140301892	GBM
TCGA-15-1444-01A-02D-1697-05	50.2410520031214	-15.829346184785	GBM
TCGA-18-3417-01A-01D-1440-05	5.23183986156907	-8.85667202188624	LUSC
TCGA-18-4721-01A-01D-1440-05	3.18079697413856	-12.7401656392217	LUSC
TCGA-18-5592-01A-01D-1633-05	6.83252220777593	-16.9509824847619	LUSC
TCGA-18-5595-01A-01D-1633-05	6.66647380111128	-18.286875272256	LUSC
TCGA-19-0957-01C-01D-A45W-05	34.6290771827297	-36.8495630427075	GBM
TCGA-19-1389-01A-01D-A45W-05	31.2452870070191	-29.5819408962325	GBM
TCGA-19-4065-01A-01D-2004-05	3.42207257431248	8.22541210649924	GBM
TCGA-19-5947-01A-11D-1697-05	31.1274396843335	-28.5514550854849	GBM
TCGA-19-5950-01A-11D-1697-05	36.5055103095176	-29.4953145344808	GBM
TCGA-19-5951-01A-11D-1697-05	35.1694147575987	-35.7348084853732	GBM
TCGA-19-5952-01A-11D-1697-05	32.566260354471	-33.3367455508229	GBM
TCGA-19-5953-01B-12D-1844-05	32.7140679923911	-30.1882360532466	GBM
TCGA-19-5954-01A-11D-1697-05	35.8233230075332	-36.0171387911072	GBM
TCGA-19-5955-01A-11D-1697-05	30.857213624424	-29.3415752336692	GBM
TCGA-19-5956-01A-11D-1697-05	32.5076396531338	-36.5984611507999	GBM
TCGA-19-5958-01A-11D-1697-05	33.0777648911091	-31.8628745107988	GBM
TCGA-19-5959-01A-11D-1697-05	36.3469116671913	-34.5756656626736	GBM
TCGA-19-5960-01A-11D-1697-05	35.2324956000456	-32.8481201580431	GBM
TCGA-19-A60I-01A-12D-A33U-05	35.0962441567048	-33.6249185560269	GBM
TCGA-19-A6J4-01A-11D-A33U-05	31.4891902250326	-28.0945772909603	GBM
TCGA-19-A6J5-01A-21D-A33U-05	51.4467265655237	-17.5308253383171	GBM
TCGA-21-5782-01A-01D-1633-05	10.8862616165623	-6.15257457491083	LUSC
TCGA-21-5783-01A-41D-2185-05	6.75065742129836	-10.0498865631942	LUSC
TCGA-21-5784-01A-01D-1633-05	-12.7175613801714	-10.973317186795	LUSC
TCGA-21-5786-01A-01D-1633-05	6.50116757782852	-10.4826422413511	LUSC
TCGA-21-5787-01A-01D-1633-05	-1.08042133549668	1.27822963140696	LUSC
TCGA-21-A5DI-01A-31D-A26N-05	5.20498855938576	-4.9652691056802	LUSC
TCGA-22-4593-01A-21D-1818-05	11.6614578158985	-13.1142199894677	LUSC
TCGA-22-4599-01A-01D-1440-05	4.84583236459662	-13.4503059416866	LUSC
TCGA-22-4601-01A-01D-1440-05	5.25602695960747	-14.5129076984211	LUSC
TCGA-22-4605-01A-21D-2123-05	-9.33572179991009	-11.0266147698633	LUSC
TCGA-22-4609-01A-21D-2123-05	5.40399459000936	-6.90399834787895	LUSC
TCGA-22-4613-01A-01D-1440-05	11.9793365297744	-9.0605055717497	LUSC
TCGA-22-5471-01A-01D-1633-05	5.95410602996672	-11.9643204252618	LUSC
TCGA-22-5472-01A-01D-1633-05	7.57452447810101	-7.03951579295886	LUSC
TCGA-22-5473-01A-01D-1633-05	6.44226978215635	-15.7205406638386	LUSC
TCGA-22-5474-01A-01D-1633-05	3.54740615585623	-13.2237869172169	LUSC
TCGA-22-5477-01A-01D-1633-05	7.30482632457093	-16.7809418717737	LUSC
TCGA-22-5478-01A-01D-1633-05	11.2502213862886	-7.6691144976909	LUSC
TCGA-22-5479-01A-31D-1947-05	4.71241443174875	-12.5503986141729	LUSC
TCGA-22-5480-01A-01D-1633-05	-14.9835778219162	-19.8708564008813	LUSC
TCGA-22-5481-01A-31D-1947-05	-17.8175659187804	-18.4420162140087	LUSC
TCGA-22-5482-01A-01D-1633-05	9.95544732811115	-12.9998571284728	LUSC
TCGA-22-5483-01A-01D-1818-05	5.31856048733529	-13.8603142161376	LUSC
TCGA-22-5485-01A-01D-1633-05	11.3482159154306	-10.2451435978979	LUSC
TCGA-22-5489-01A-01D-1633-05	-0.546226583503587	-4.8692617610649	LUSC
TCGA-22-5491-01A-01D-1633-05	8.99067932888002	-13.0100327627129	LUSC
TCGA-22-5492-01A-01D-1633-05	11.0534983907825	-6.30861852634329	LUSC
TCGA-22-A5C4-01A-12D-A27L-05	6.82197307154667	-10.3760601456834	LUSC
TCGA-26-1442-01A-01D-1697-05	50.0019742505424	-14.679164263101	GBM
TCGA-26-5132-01A-01D-1481-05	35.2114694824587	-33.4017117008252	GBM
TCGA-26-5133-01A-01D-1481-05	51.0580929480547	-17.6245954985314	GBM
TCGA-26-5134-01A-01D-1481-05	32.8948716427308	-36.9324181132474	GBM
TCGA-26-5135-01A-01D-1481-05	34.3452436377903	-36.8569884174409	GBM
TCGA-26-5136-01B-01D-1481-05	36.2119756796681	-35.9678624940356	GBM
TCGA-26-5139-01A-01D-1481-05	36.3354143361518	-35.4258515737699	GBM
TCGA-26-6173-01A-11D-1844-05	31.7691098649482	-29.838777565228	GBM
TCGA-26-6174-01A-21D-1844-05	35.9404785605645	-27.5233934188904	GBM
TCGA-26-A7UX-01B-11D-A392-05	32.9000369937839	-35.8875208040405	GBM
TCGA-28-2501-01A-01D-1697-05	33.0067863568211	-29.0267334362132	GBM
TCGA-28-2510-01A-01D-1697-05	34.8877175616845	-27.1687594816622	GBM
TCGA-28-5204-01A-01D-1481-05	34.8648803267017	-32.584662675466	GBM
TCGA-28-5207-01A-01D-1481-05	32.6578221592518	-33.1910096329099	GBM
TCGA-28-5208-01A-01D-1481-05	34.7385667779022	-33.0316126560456	GBM
TCGA-28-5209-01A-01D-1481-05	36.3246076384911	-33.0362171792743	GBM
TCGA-28-5211-01C-11D-1844-05	30.7737609095572	-29.2485683624946	GBM
TCGA-28-5213-01A-01D-1481-05	31.0100391360034	-28.9103946368086	GBM
TCGA-28-5214-01A-01D-1481-05	35.0347664497033	-31.6306902645328	GBM
TCGA-28-5215-01A-01D-1481-05	34.46284749669	-36.9601172563469	GBM
TCGA-28-5216-01A-01D-1481-05	32.9203730522139	-36.954538147062	GBM
TCGA-28-5218-01A-01D-1481-05	4.41313566940453	16.7965344025594	GBM
TCGA-28-5219-01A-01D-1481-05	34.831970064768	-36.7404803181395	GBM
TCGA-28-5220-01A-01D-1481-05	33.3825877150738	-34.9416733612499	GBM
TCGA-28-6450-01A-11D-1697-05	34.2533038926164	-31.4455212041004	GBM
TCGA-29-A5NZ-01A-11D-A409-05	20.0356491812687	-23.2941292938797	OV
TCGA-2A-A8VL-01A-21D-A378-05	38.6624008333657	5.10959372338363	PRAD
TCGA-2A-A8VO-01A-11D-A378-05	41.103708358032	12.9429936661555	PRAD
TCGA-2A-A8VT-01A-11D-A378-05	43.3111368079026	10.728499432687	PRAD
TCGA-2A-A8VV-01A-11D-A378-05	46.3726579133747	7.67387891856604	PRAD
TCGA-2A-A8VX-01A-11D-A378-05	42.7817884629771	16.855094441757	PRAD
TCGA-2A-A8W1-01A-11D-A378-05	41.4620773689731	16.8486561412692	PRAD
TCGA-2A-A8W3-01A-11D-A378-05	39.2049483701264	11.1321579486607	PRAD
TCGA-2A-AAYF-01A-11D-A41L-05	44.265771325475	7.87719607527734	PRAD
TCGA-2A-AAYO-01A-11D-A41L-05	42.4945660925305	9.40997169824666	PRAD
TCGA-2A-AAYU-01A-11D-A41L-05	43.0342489113127	11.1757720249609	PRAD
TCGA-2E-A9G8-01A-11D-A409-05	18.3377548599023	-23.3853965166094	UCEC
TCGA-2F-A9KO-01A-11D-A38H-05	7.51335951590558	-0.679065518228733	BLCA
TCGA-2F-A9KP-01A-11D-A38H-05	18.7514053935335	-0.740447847332825	BLCA
TCGA-2F-A9KQ-01A-11D-A38H-05	20.4993984853992	0.0832006197919332	BLCA
TCGA-2F-A9KR-01A-11D-A38H-05	19.384648237241	2.29738097022932	BLCA
TCGA-2F-A9KT-01A-11D-A38H-05	14.5870850562143	-2.35213457198515	BLCA
TCGA-2F-A9KW-01A-11D-A38H-05	14.2716654930842	-1.0441310403852	BLCA
TCGA-2G-AAEW-01A-11D-A42Z-05	22.0555449757036	11.5996372989194	TGCT
TCGA-2G-AAEX-01A-11D-A42Z-05	21.6291605314438	11.7809958139928	TGCT
TCGA-2G-AAF1-01A-11D-A42Z-05	19.4502443143615	13.4829881979627	TGCT
TCGA-2G-AAF4-01A-11D-A42Z-05	20.3403370753347	12.6632123267358	TGCT
TCGA-2G-AAF6-01A-11D-A42Z-05	21.7900622506554	11.675638488055	TGCT
TCGA-2G-AAF8-01A-11D-A42Z-05	19.1317816644066	12.7770550856572	TGCT
TCGA-2G-AAFE-01A-11D-A42Z-05	22.1735840043638	11.5273592045146	TGCT
TCGA-2G-AAFG-01A-11D-A42Z-05	19.7680115060464	12.9599039239904	TGCT
TCGA-2G-AAFH-01A-12D-A42Z-05	20.3436695888321	12.3803474639165	TGCT
TCGA-2G-AAFI-01A-21D-A42Z-05	8.39702140368938	25.6959787539319	TGCT
TCGA-2G-AAFJ-01A-11D-A42Z-05	5.07273150461086	27.080451058948	TGCT
TCGA-2G-AAFL-01A-21D-A42Z-05	7.16787281789263	24.951210885059	TGCT
TCGA-2G-AAFM-01A-11D-A42Z-05	7.06468561739788	24.8282731367049	TGCT
TCGA-2G-AAFN-01A-31D-A42Z-05	8.36712166601575	25.7385570341337	TGCT
TCGA-2G-AAFO-01A-31D-A42Z-05	7.14591726187912	24.9254613928235	TGCT
TCGA-2G-AAFV-01A-11D-A42Z-05	6.6183041636895	28.0155605857579	TGCT
