aliquot	feature_1	feature_2	project	center
TCGA-05-5423-01A-01R-1628-07	-3.07546603585977	18.843456934477	LUAD	UNC-LCCC
TCGA-05-5425-01A-02R-1628-07	-2.27616050595101	20.7983127910063	LUAD	UNC-LCCC
TCGA-05-5428-01A-01R-1628-07	-4.19522995546885	19.0746398979229	LUAD	UNC-LCCC
TCGA-05-5429-01A-01R-1628-07	17.7410696248257	14.42429556935	LUAD	UNC-LCCC
TCGA-05-5715-01A-01R-1628-07	2.65303184187776	21.6992462652288	LUAD	UNC-LCCC
TCGA-06-0125-01A-01R-1849-01	5.9613206084458	-25.0782868358404	GBM	BI
TCGA-06-0129-01A-01R-1849-01	10.2687560215196	-34.3449756707336	GBM	BI
TCGA-06-0130-01A-01R-1849-01	11.248461528839	-24.0166617192739	GBM	BI
TCGA-06-0132-01A-02R-1849-01	9.63938393522812	-30.6817613272896	GBM	BI
TCGA-06-0138-01A-02R-1849-01	12.6254939039695	-26.4965766911324	GBM	BI
TCGA-06-0139-01A-01R-1849-01	12.5217985630969	-23.9295427709614	GBM	BI
TCGA-06-0141-01A-01R-1849-01	11.5261679313508	-25.9066524084072	GBM	BI
TCGA-06-0156-01A-03R-1849-01	8.87036532176013	-23.8807948977757	GBM	BI
TCGA-06-0157-01A-01R-1849-01	9.22389095134219	-26.2539484982304	GBM	BI
TCGA-06-0158-01A-01R-1849-01	6.77033968237077	-25.8091509279434	GBM	BI
TCGA-06-0168-01A-01R-1849-01	10.5531094254807	-26.4880575314517	GBM	BI
TCGA-06-0174-01A-01R-1849-01	8.22540935999895	-23.679648589543	GBM	BI
TCGA-06-0178-01A-01R-1849-01	13.2445809607408	-26.3869687264934	GBM	BI
TCGA-06-0184-01A-01R-1849-01	11.0501978429276	-25.8816171823048	GBM	BI
TCGA-06-0187-01A-01R-1849-01	10.4110451035265	-26.5257426518888	GBM	BI
TCGA-06-0190-01A-01R-1849-01	10.5014921743911	-25.592920107626	GBM	BI
TCGA-06-0210-01A-01R-1849-01	10.583843056338	-25.7151941089313	GBM	BI
TCGA-06-0211-01B-01R-1849-01	7.54231766841971	-23.942819037267	GBM	BI
TCGA-06-0219-01A-01R-1849-01	13.1663649960878	-26.4071787227428	GBM	BI
TCGA-06-0238-01A-02R-1849-01	13.6332248352367	-27.1032905962555	GBM	BI
TCGA-06-0644-01A-02R-1849-01	11.0138255250453	-24.7843120317386	GBM	BI
TCGA-06-0645-01A-01R-1849-01	10.7539852711666	-25.7700194991427	GBM	BI
TCGA-06-0646-01A-01R-1849-01	7.91765132086964	-26.3615775258554	GBM	BI
TCGA-06-0649-01B-01R-1849-01	10.8533719862149	-27.2719201709914	GBM	BI
TCGA-06-0686-01A-01R-1849-01	8.89657670422622	-24.6599676343437	GBM	BI
